L,R,A,Vbias,result
5,60,25,1.0,False
5,60,25,1.1,False
5,60,25,1.2,True
5,60,25,1.3,True
5,60,25,1.4,False
5,60,25,1.5,False
5,60,25,1.6,False
5,60,25,1.7,False
5,60,25,1.8,False
5,60,25,1.9,False
5,60,5,1.4,True
5,60,5,1.5,True
5,60,5,1.6,True
5,60,5,1.7,False
5,60,5,1.8,False
5,60,5,1.9,False
5,60,5,2.0,False
5,60,10,1.0,False
5,60,10,1.1,True
5,60,10,1.2,True
5,60,10,1.3,True
5,60,10,1.4,True
5,60,10,1.5,True
5,60,10,1.6,False
5,60,10,1.7,False
5,60,10,1.8,False
5,60,10,1.9,False
5,60,10,2.0,False
5,60,15,1.0,False
5,60,15,1.1,True
5,50,5,1.0,False
5,50,5,1.1,True
5,50,5,1.2,True
5,50,5,1.3,True
5,50,5,1.4,True
5,50,5,1.5,False
5,50,5,1.6,False
5,50,5,1.7,False
5,50,5,1.8,False
5,50,5,1.9,False
5,60,20,1.1,False
5,60,20,1.2,True
5,60,20,1.3,True
5,60,20,1.4,False
5,60,20,1.5,False
5,60,20,1.6,False
5,60,20,1.7,False
5,60,20,1.8,False
5,60,20,1.9,False
5,60,20,2.0,False
5,60,15,1.2,True
5,60,15,1.3,True
5,60,15,1.4,True
5,60,15,1.5,False
5,60,15,1.6,False
5,60,15,1.7,False
5,60,15,1.8,False
5,60,15,1.9,False
5,60,15,2.0,False
5,60,20,1.0,False
5,50,5,2.0,False
5,50,10,1.0,False
5,50,10,1.1,True
5,50,10,1.2,True
5,50,10,1.3,True
5,50,10,1.4,False
5,50,10,1.5,False
5,50,10,1.6,False
5,50,10,1.7,False
5,50,10,1.8,False
5,50,10,1.9,False
5,50,10,2.0,False
5,50,15,1.0,False
5,50,15,1.1,True
5,50,15,1.2,True
5,50,15,1.3,False
5,50,15,1.4,False
5,50,15,1.5,False
5,50,15,1.6,False
5,50,15,1.7,False
5,50,15,1.8,False
5,50,15,1.9,False
5,50,15,2.0,False
5,50,20,1.0,False
5,50,20,1.1,True
5,50,20,1.2,False
5,50,20,1.3,False
5,50,20,1.4,False
5,50,20,1.5,False
5,50,20,1.6,False
5,50,25,1.6,False
5,50,25,1.7,False
5,50,25,1.8,False
5,50,25,1.9,False
5,50,25,2.0,False
5,50,30,1.0,False
5,50,30,1.1,False
5,50,30,1.2,False
5,50,30,1.3,False
5,50,30,1.4,False
5,50,20,1.7,False
5,50,20,1.8,False
5,50,20,1.9,False
5,50,20,2.0,False
5,50,25,1.0,False
5,50,25,1.1,True
5,50,25,1.2,False
5,50,25,1.3,False
5,50,25,1.4,False
5,50,25,1.5,False
5,50,30,1.5,False
5,50,30,1.6,False
5,50,30,1.7,False
5,50,30,1.8,False
5,50,30,1.9,False
5,50,30,2.0,False
5,60,5,1.0,False
5,60,5,1.1,True
5,60,5,1.2,True
5,60,5,1.3,True
5,70,5,1.8,True
5,70,5,1.9,False
5,70,5,2.0,False
5,70,10,1.0,False
5,70,10,1.1,True
5,70,10,1.2,True
5,70,10,1.3,True
5,70,10,1.4,True
5,70,10,1.5,True
5,70,10,1.6,True
5,60,30,1.9,False
5,60,30,2.0,False
5,70,5,1.0,False
5,70,5,1.1,True
5,70,5,1.2,True
5,70,5,1.3,True
5,70,5,1.4,True
5,70,5,1.5,True
5,70,5,1.6,True
5,70,5,1.7,True
5,70,10,1.7,True
5,70,10,1.8,False
5,70,10,1.9,False
5,70,10,2.0,False
5,70,15,1.0,False
5,70,15,1.1,False
5,70,15,1.2,True
5,70,15,1.3,True
5,70,15,1.4,True
5,70,15,1.5,True
5,60,25,2.0,False
5,60,30,1.0,False
5,60,30,1.1,False
5,60,30,1.2,False
5,60,30,1.3,False
5,60,30,1.4,False
5,60,30,1.5,False
5,60,30,1.6,False
5,60,30,1.7,False
5,60,30,1.8,False
5,80,5,1.2,True
5,80,5,1.3,True
5,80,5,1.4,True
5,80,5,1.5,True
5,80,5,1.6,True
5,80,5,1.7,True
5,80,5,1.8,True
5,80,5,1.9,True
5,80,5,2.0,False
5,80,10,1.0,False
5,70,15,1.6,True
5,70,15,1.7,False
5,70,15,1.8,False
5,70,15,1.9,False
5,70,15,2.0,False
5,70,20,1.0,False
5,70,20,1.1,False
5,70,20,1.2,True
5,70,20,1.3,True
5,70,20,1.4,True
5,80,10,1.1,False
5,80,10,1.2,True
5,80,10,1.3,True
5,80,10,1.4,True
5,80,10,1.5,True
5,80,10,1.6,True
5,80,10,1.7,True
5,80,10,1.8,True
5,80,10,1.9,False
5,80,10,2.0,False
5,70,20,1.5,True
5,70,20,1.6,False
5,70,20,1.7,False
5,70,20,1.8,False
5,70,20,1.9,False
5,70,20,2.0,False
5,70,25,1.0,False
5,70,25,1.1,False
5,70,25,1.2,True
5,70,25,1.3,True
5,80,15,1.0,False
5,80,15,1.1,False
5,80,15,1.2,True
5,80,15,1.3,True
5,80,15,1.4,True
5,80,15,1.5,True
5,80,15,1.6,True
5,80,15,1.7,True
5,80,15,1.8,False
5,80,15,1.9,False
5,80,15,2.0,False
5,80,20,1.0,False
5,80,20,1.1,False
5,80,20,1.2,True
5,80,20,1.3,True
5,80,20,1.4,True
5,80,20,1.5,True
5,80,20,1.6,True
5,80,20,1.7,True
5,80,20,1.8,False
5,70,25,1.4,True
5,70,25,1.5,False
5,70,25,1.6,False
5,70,25,1.7,False
5,70,25,1.8,False
5,70,25,1.9,False
5,70,25,2.0,False
5,70,30,1.0,False
5,70,30,1.1,False
5,70,30,1.2,False
5,70,30,1.3,True
5,70,30,1.4,True
5,70,30,1.5,False
5,70,30,1.6,False
5,70,30,1.7,False
5,70,30,1.8,False
5,70,30,1.9,False
5,70,30,2.0,False
5,80,5,1.0,False
5,80,5,1.1,False
5,90,5,1.6,True
5,90,5,1.7,True
5,90,5,1.8,True
5,90,5,1.9,True
5,90,5,2.0,False
5,90,10,1.0,False
5,90,10,1.1,False
5,90,10,1.2,True
5,90,10,1.3,True
5,90,10,1.4,True
5,80,20,1.9,False
5,80,20,2.0,False
5,80,25,1.0,False
5,80,25,1.1,False
5,80,25,1.2,False
5,80,25,1.3,True
5,80,25,1.4,True
5,80,25,1.5,True
5,80,25,1.6,True
5,80,25,1.7,False
5,90,10,1.5,True
5,90,10,1.6,True
5,90,10,1.7,True
5,90,10,1.8,True
5,90,10,1.9,True
5,90,10,2.0,False
5,90,15,1.0,False
5,90,15,1.1,False
5,90,15,1.2,True
5,90,15,1.3,True
5,90,15,1.4,True
5,90,15,1.5,True
5,90,15,1.6,True
5,90,15,1.7,True
5,90,15,1.8,True
5,90,15,1.9,True
5,90,15,2.0,False
5,90,20,1.0,False
5,90,20,1.1,False
5,90,20,1.2,True
5,80,25,1.8,False
5,80,25,1.9,False
5,80,25,2.0,False
5,80,30,1.0,False
5,80,30,1.1,False
5,80,30,1.2,False
5,80,30,1.3,False
5,80,30,1.4,True
5,80,30,1.5,True
5,80,30,1.6,False
5,100,5,1.0,False
5,100,5,1.1,False
5,100,5,1.2,True
5,100,5,1.3,True
5,100,5,1.4,True
5,100,5,1.5,True
5,100,5,1.6,True
5,100,5,1.7,True
5,100,5,1.8,True
5,100,5,1.9,True
5,90,25,1.2,False
5,90,25,1.3,True
5,90,25,1.4,True
5,90,25,1.5,True
5,90,25,1.6,True
5,90,25,1.7,True
5,90,25,1.8,False
5,90,25,1.9,False
5,90,25,2.0,False
5,90,30,1.0,False
5,80,30,1.7,False
5,80,30,1.8,False
5,80,30,1.9,False
5,80,30,2.0,False
5,90,5,1.0,False
5,90,5,1.1,False
5,90,5,1.2,True
5,90,5,1.3,True
5,90,5,1.4,True
5,90,5,1.5,True
5,90,20,1.3,True
5,90,20,1.4,True
5,90,20,1.5,True
5,90,20,1.6,True
5,90,20,1.7,True
5,90,20,1.8,True
5,90,20,1.9,False
5,90,20,2.0,False
5,90,25,1.0,False
5,90,25,1.1,False
5,100,5,2.0,False
5,100,10,1.0,False
5,100,10,1.1,False
5,100,10,1.2,True
5,100,10,1.3,True
5,100,10,1.4,True
5,100,10,1.5,True
5,100,10,1.6,True
5,100,10,1.7,True
5,100,10,1.8,True
5,90,30,1.1,False
5,90,30,1.2,False
5,90,30,1.3,False
5,90,30,1.4,False
5,90,30,1.5,True
5,90,30,1.6,True
5,90,30,1.7,True
5,90,30,1.8,False
5,90,30,1.9,False
5,90,30,2.0,False
5,100,10,1.9,True
5,100,10,2.0,False
5,100,15,1.0,False
5,100,15,1.1,False
5,100,15,1.2,True
5,100,15,1.3,True
5,100,15,1.4,True
5,100,15,1.5,True
5,100,15,1.6,True
5,100,15,1.7,True
5,100,15,1.8,True
5,100,15,1.9,True
5,100,15,2.0,False
5,100,20,1.0,False
5,100,20,1.1,False
5,100,20,1.2,True
5,100,20,1.3,True
5,100,20,1.4,True
5,100,20,1.5,True
5,100,20,1.6,True
5,100,20,1.7,True
5,100,20,1.8,True
5,100,20,1.9,True
5,100,20,2.0,False
5,100,25,1.0,False
5,100,25,1.1,False
5,100,25,1.2,False
5,100,25,1.3,True
5,100,25,1.4,True
5,100,25,1.5,True
5,100,25,1.6,True
5,100,25,1.7,True
5,100,25,1.8,True
5,100,25,1.9,True
5,100,25,2.0,False
5,100,30,1.0,False
5,100,30,1.1,False
5,100,30,1.2,False
5,100,30,1.3,False
5,100,30,1.4,False
5,100,30,1.5,True
5,100,30,1.6,True
5,100,30,1.7,True
5,100,30,1.8,True
5,100,30,1.9,False
5,100,30,2.0,False
5,110,5,1.0,False
5,110,5,1.1,False
5,110,5,1.2,True
5,110,5,1.3,True
5,110,15,1.2,True
5,110,15,1.3,True
5,110,15,1.4,True
5,110,15,1.5,True
5,110,15,1.6,True
5,110,15,1.7,True
5,110,15,1.8,True
5,110,15,1.9,True
5,110,15,2.0,False
5,110,20,1.0,False
5,110,5,1.4,True
5,110,5,1.5,True
5,110,5,1.6,True
5,110,5,1.7,True
5,110,5,1.8,True
5,110,5,1.9,True
5,110,5,2.0,False
5,110,10,1.0,False
5,110,10,1.1,False
5,110,10,1.2,True
5,110,10,1.3,True
5,110,10,1.4,True
5,110,10,1.5,True
5,110,10,1.6,True
5,110,10,1.7,True
5,110,10,1.8,True
5,110,10,1.9,True
5,110,10,2.0,False
5,110,15,1.0,False
5,110,15,1.1,False
5,110,25,2.0,False
5,110,30,1.0,False
5,110,30,1.1,False
5,110,30,1.2,False
5,110,30,1.3,False
5,110,30,1.4,False
5,110,30,1.5,False
5,110,30,1.6,True
5,110,30,1.7,True
5,110,30,1.8,True
5,110,20,1.1,False
5,110,20,1.2,False
5,110,20,1.3,True
5,110,20,1.4,True
5,110,20,1.5,True
5,110,20,1.6,True
5,110,20,1.7,True
5,110,20,1.8,True
5,110,20,1.9,True
5,110,20,2.0,False
5,110,30,1.9,True
5,110,30,2.0,False
5,120,5,1.0,False
5,120,5,1.1,False
5,120,5,1.2,True
5,120,5,1.3,True
5,120,5,1.4,True
5,120,5,1.5,True
5,120,5,1.6,True
5,120,5,1.7,True
5,110,25,1.0,False
5,110,25,1.1,False
5,110,25,1.2,False
5,110,25,1.3,False
5,110,25,1.4,True
5,110,25,1.5,True
5,110,25,1.6,True
5,110,25,1.7,True
5,110,25,1.8,True
5,110,25,1.9,True
5,120,5,1.8,True
5,120,5,1.9,True
5,120,5,2.0,False
5,120,10,1.0,False
5,120,10,1.1,False
5,120,10,1.2,True
5,120,10,1.3,True
5,120,10,1.4,True
5,120,10,1.5,True
5,120,10,1.6,True
5,120,10,1.7,True
5,120,10,1.8,True
5,120,10,1.9,True
5,120,10,2.0,False
5,120,15,1.0,False
5,120,15,1.1,False
5,120,15,1.2,True
5,120,15,1.3,True
5,120,15,1.4,True
5,120,15,1.5,True
5,120,15,1.6,True
5,120,15,1.7,True
5,120,15,1.8,True
5,120,15,1.9,True
5,120,15,2.0,False
5,120,20,1.0,False
5,120,20,1.1,False
5,120,20,1.2,False
5,120,20,1.3,True
5,120,20,1.4,True
5,120,20,1.5,True
5,120,20,1.6,True
5,120,20,1.7,True
5,120,20,1.8,True
5,120,20,1.9,True
5,120,20,2.0,False
5,120,25,1.0,False
5,120,25,1.1,False
5,120,25,1.2,False
5,120,25,1.3,False
5,120,25,1.4,True
5,120,25,1.5,True
5,120,25,1.6,True
5,120,25,1.7,True
5,120,25,1.8,True
5,120,25,1.9,True
5,120,25,2.0,False
5,120,30,1.0,False
5,120,30,1.1,False
5,120,30,1.2,False
5,130,5,1.2,False
5,130,5,1.3,True
5,130,5,1.4,True
5,130,5,1.5,True
5,130,5,1.6,True
5,130,5,1.7,True
5,130,5,1.8,True
5,130,5,1.9,True
5,130,5,2.0,False
5,130,10,1.0,False
5,120,30,1.3,False
5,120,30,1.4,False
5,120,30,1.5,False
5,120,30,1.6,True
5,120,30,1.7,True
5,120,30,1.8,True
5,120,30,1.9,True
5,120,30,2.0,False
5,130,5,1.0,False
5,130,5,1.1,False
5,130,15,1.0,False
5,130,15,1.1,False
5,130,15,1.2,False
5,130,15,1.3,True
5,130,15,1.4,True
5,130,15,1.5,True
5,130,15,1.6,True
5,130,15,1.7,True
5,130,15,1.8,True
5,130,15,1.9,True
5,130,10,1.1,False
5,130,10,1.2,True
5,130,10,1.3,True
5,130,10,1.4,True
5,130,10,1.5,True
5,130,10,1.6,True
5,130,10,1.7,True
5,130,10,1.8,True
5,130,10,1.9,True
5,130,10,2.0,False
5,130,25,1.8,True
5,130,25,1.9,True
5,130,25,2.0,False
5,130,30,1.0,False
5,130,30,1.1,False
5,130,30,1.2,False
5,130,30,1.3,False
5,130,30,1.4,False
5,130,30,1.5,False
5,130,30,1.6,False
5,130,20,1.9,True
5,130,20,2.0,False
5,130,25,1.0,False
5,130,25,1.1,False
5,130,25,1.2,False
5,130,25,1.3,False
5,130,25,1.4,True
5,130,25,1.5,True
5,130,25,1.6,True
5,130,25,1.7,True
5,130,15,2.0,False
5,130,20,1.0,False
5,130,20,1.1,False
5,130,20,1.2,False
5,130,20,1.3,True
5,130,20,1.4,True
5,130,20,1.5,True
5,130,20,1.6,True
5,130,20,1.7,True
5,130,20,1.8,True
5,130,30,1.7,True
5,130,30,1.8,True
5,130,30,1.9,True
5,130,30,2.0,False
5,140,5,1.0,False
5,140,5,1.1,False
5,140,5,1.2,False
5,140,5,1.3,True
5,140,5,1.4,True
5,140,5,1.5,True
5,140,5,1.6,True
5,140,5,1.7,True
5,140,5,1.8,True
5,140,5,1.9,True
5,140,5,2.0,False
5,140,10,1.0,False
5,140,10,1.1,False
5,140,10,1.2,False
5,140,10,1.3,True
5,140,10,1.4,True
5,140,10,1.5,True
5,140,10,1.6,True
5,140,10,1.7,True
5,140,10,1.8,True
5,140,10,1.9,True
5,140,10,2.0,False
5,140,15,1.0,False
5,140,15,1.1,False
5,140,15,1.2,False
5,140,15,1.3,True
5,140,15,1.4,True
5,140,15,1.5,True
5,140,15,1.6,True
5,140,15,1.7,True
5,140,15,1.8,True
5,140,15,1.9,True
5,140,15,2.0,False
5,140,20,1.0,False
5,140,20,1.1,False
5,140,20,1.2,False
5,140,20,1.3,True
5,140,20,1.4,True
5,140,20,1.5,True
5,140,20,1.6,True
5,140,20,1.7,True
5,140,20,1.8,True
5,140,20,1.9,True
5,140,20,2.0,False
5,140,25,1.0,False
5,140,25,1.1,False
5,140,25,1.2,False
5,140,25,1.3,False
5,140,25,1.4,True
5,140,25,1.5,True
5,140,25,1.6,True
5,140,25,1.7,True
5,140,25,1.8,True
5,140,25,1.9,True
5,140,25,2.0,False
5,140,30,1.0,False
5,140,30,1.1,False
5,140,30,1.2,False
5,140,30,1.3,False
5,140,30,1.4,False
5,140,30,1.5,False
5,140,30,1.6,False
5,140,30,1.7,True
5,140,30,1.8,True
5,140,30,1.9,True
5,140,30,2.0,False
5,150,5,1.0,False
5,150,5,1.1,False
5,150,5,1.2,False
5,150,5,1.3,True
5,150,5,1.4,True
5,150,5,1.5,True
5,150,5,1.6,True
5,150,5,1.7,True
5,150,5,1.8,True
5,150,5,1.9,True
5,150,10,1.9,True
5,150,10,2.0,False
5,150,15,1.0,False
5,150,15,1.1,False
5,150,15,1.2,False
5,150,15,1.3,True
5,150,15,1.4,True
5,150,15,1.5,True
5,150,15,1.6,True
5,150,15,1.7,True
5,150,20,1.7,True
5,150,20,1.8,True
5,150,20,1.9,True
5,150,20,2.0,False
5,150,25,1.0,False
5,150,25,1.1,False
5,150,25,1.2,False
5,150,25,1.3,False
5,150,25,1.4,False
5,150,25,1.5,True
5,150,15,1.8,True
5,150,15,1.9,True
5,150,15,2.0,False
5,150,20,1.0,False
5,150,20,1.1,False
5,150,20,1.2,False
5,150,20,1.3,True
5,150,20,1.4,True
5,150,20,1.5,True
5,150,20,1.6,True
5,150,5,2.0,False
5,150,10,1.0,False
5,150,10,1.1,False
5,150,10,1.2,False
5,150,10,1.3,True
5,150,10,1.4,True
5,150,10,1.5,True
5,150,10,1.6,True
5,150,10,1.7,True
5,150,10,1.8,True
5,150,25,1.6,True
5,150,25,1.7,True
5,150,25,1.8,True
5,150,25,1.9,True
5,150,25,2.0,False
5,150,30,1.0,False
5,150,30,1.1,False
5,150,30,1.2,False
5,150,30,1.3,False
5,150,30,1.4,False
5,150,30,1.5,False
5,150,30,1.6,False
5,150,30,1.7,False
5,150,30,1.8,True
5,150,30,1.9,True
5,150,30,2.0,False
5,160,5,1.0,False
5,160,5,1.1,False
5,160,5,1.2,False
5,160,5,1.3,True
5,160,5,1.4,True
5,160,5,1.5,True
5,160,5,1.6,True
5,160,5,1.7,True
5,160,5,1.8,True
5,160,5,1.9,True
5,160,5,2.0,False
5,160,10,1.0,False
5,160,10,1.1,False
5,160,10,1.2,False
5,160,20,1.1,False
5,160,20,1.2,False
5,160,20,1.3,True
5,160,20,1.4,True
5,160,20,1.5,True
5,160,20,1.6,True
5,160,20,1.7,True
5,160,20,1.8,True
5,160,20,1.9,True
5,160,20,2.0,False
5,160,10,1.3,True
5,160,10,1.4,True
5,160,10,1.5,True
5,160,10,1.6,True
5,160,10,1.7,True
5,160,10,1.8,True
5,160,10,1.9,True
5,160,10,2.0,False
5,160,15,1.0,False
5,160,15,1.1,False
5,160,15,1.2,False
5,160,15,1.3,True
5,160,15,1.4,True
5,160,15,1.5,True
5,160,15,1.6,True
5,160,15,1.7,True
5,160,15,1.8,True
5,160,15,1.9,True
5,160,15,2.0,False
5,160,20,1.0,False
5,160,30,1.9,True
5,160,30,2.0,False
5,170,5,1.0,False
5,170,5,1.1,False
5,170,5,1.2,False
5,170,5,1.3,False
5,170,5,1.4,True
5,170,5,1.5,True
5,170,5,1.6,True
5,170,5,1.7,True
5,160,25,2.0,False
5,160,30,1.0,False
5,160,30,1.1,False
5,160,30,1.2,False
5,160,30,1.3,False
5,160,30,1.4,False
5,160,30,1.5,False
5,160,30,1.6,False
5,160,30,1.7,False
5,160,30,1.8,True
5,160,25,1.0,False
5,160,25,1.1,False
5,160,25,1.2,False
5,160,25,1.3,False
5,160,25,1.4,False
5,160,25,1.5,True
5,160,25,1.6,True
5,160,25,1.7,True
5,160,25,1.8,True
5,160,25,1.9,True
5,170,5,1.8,True
5,170,5,1.9,True
5,170,5,2.0,False
5,170,10,1.0,False
5,170,10,1.1,False
5,170,10,1.2,False
5,170,10,1.3,True
5,170,10,1.4,True
5,170,10,1.5,True
5,170,10,1.6,True
5,170,15,1.6,True
5,170,15,1.7,True
5,170,15,1.8,True
5,170,15,1.9,True
5,170,15,2.0,False
5,170,20,1.0,False
5,170,20,1.1,False
5,170,20,1.2,False
5,170,20,1.3,False
5,170,20,1.4,True
5,170,10,1.7,True
5,170,10,1.8,True
5,170,10,1.9,True
5,170,10,2.0,False
5,170,15,1.0,False
5,170,15,1.1,False
5,170,15,1.2,False
5,170,15,1.3,True
5,170,15,1.4,True
5,170,15,1.5,True
5,170,20,1.5,True
5,170,20,1.6,True
5,170,20,1.7,True
5,170,20,1.8,True
5,170,20,1.9,True
5,170,20,2.0,False
5,170,25,1.0,False
5,170,25,1.1,False
5,170,25,1.2,False
5,170,25,1.3,False
5,170,25,1.4,False
5,170,25,1.5,True
5,170,25,1.6,True
5,170,25,1.7,True
5,170,25,1.8,True
5,170,25,1.9,True
5,170,25,2.0,False
5,170,30,1.0,False
5,170,30,1.1,False
5,170,30,1.2,False
5,170,30,1.3,False
5,170,30,1.4,False
5,170,30,1.5,False
5,170,30,1.6,False
5,170,30,1.7,False
5,170,30,1.8,True
5,170,30,1.9,True
5,170,30,2.0,False
5,180,5,1.0,False
5,180,5,1.1,False
5,180,5,1.2,False
5,180,5,1.3,False
5,180,5,1.4,True
5,180,5,1.5,True
5,180,5,1.6,True
5,180,5,1.7,True
5,180,5,1.8,True
5,180,5,1.9,True
5,180,5,2.0,False
5,180,10,1.0,False
5,180,15,1.0,False
5,180,15,1.1,False
5,180,15,1.2,False
5,180,15,1.3,True
5,180,15,1.4,True
5,180,15,1.5,True
5,180,15,1.6,True
5,180,15,1.7,True
5,180,15,1.8,True
5,180,15,1.9,True
5,180,10,1.1,False
5,180,10,1.2,False
5,180,10,1.3,True
5,180,10,1.4,True
5,180,10,1.5,True
5,180,10,1.6,True
5,180,10,1.7,True
5,180,10,1.8,True
5,180,10,1.9,True
5,180,10,2.0,False
5,180,20,1.9,True
5,180,20,2.0,False
5,180,25,1.0,False
5,180,25,1.1,False
5,180,25,1.2,False
5,180,25,1.3,False
5,180,25,1.4,False
5,180,25,1.5,True
5,180,25,1.6,True
5,180,25,1.7,True
5,180,15,2.0,False
5,180,20,1.0,False
5,180,20,1.1,False
5,180,20,1.2,False
5,180,20,1.3,False
5,180,20,1.4,True
5,180,20,1.5,True
5,180,20,1.6,True
5,180,20,1.7,True
5,180,20,1.8,True
5,180,25,1.8,True
5,180,25,1.9,True
5,180,25,2.0,False
5,180,30,1.0,False
5,180,30,1.1,False
5,180,30,1.2,False
5,180,30,1.3,False
5,180,30,1.4,False
5,180,30,1.5,False
5,180,30,1.6,False
5,190,5,1.6,True
5,190,5,1.7,True
5,190,5,1.8,True
5,190,5,1.9,True
5,190,5,2.0,False
5,190,10,1.0,False
5,190,10,1.1,False
5,190,10,1.2,False
5,190,10,1.3,True
5,190,10,1.4,True
5,180,30,1.7,False
5,180,30,1.8,False
5,180,30,1.9,True
5,180,30,2.0,False
5,190,5,1.0,False
5,190,5,1.1,False
5,190,5,1.2,False
5,190,5,1.3,False
5,190,5,1.4,True
5,190,5,1.5,True
5,190,10,1.5,True
5,190,10,1.6,True
5,190,10,1.7,True
5,190,10,1.8,True
5,190,10,1.9,True
5,190,10,2.0,False
5,190,15,1.0,False
5,190,15,1.1,False
5,190,15,1.2,False
5,190,15,1.3,True
5,190,15,1.4,True
5,190,15,1.5,True
5,190,15,1.6,True
5,190,15,1.7,True
5,190,15,1.8,True
5,190,15,1.9,True
5,190,15,2.0,False
5,190,20,1.0,False
5,190,20,1.1,False
5,190,20,1.2,False
5,190,20,1.3,False
5,190,20,1.4,True
5,190,20,1.5,True
5,190,20,1.6,True
5,190,20,1.7,True
5,190,20,1.8,True
5,190,20,1.9,True
5,190,20,2.0,False
5,190,25,1.0,False
5,190,25,1.1,False
5,190,25,1.2,False
5,190,25,1.3,False
5,190,25,1.4,False
5,190,25,1.5,False
5,190,25,1.6,True
5,190,25,1.7,True
5,190,25,1.8,True
5,190,25,1.9,True
5,190,25,2.0,False
5,190,30,1.0,False
5,200,5,1.0,False
5,200,5,1.1,False
5,200,5,1.2,False
5,200,5,1.3,False
5,200,5,1.4,True
5,200,5,1.5,True
5,200,5,1.6,True
5,200,5,1.7,True
5,200,5,1.8,True
5,200,5,1.9,True
5,200,5,2.0,False
5,200,10,1.0,False
5,200,10,1.1,False
5,200,10,1.2,False
5,200,10,1.3,True
5,200,10,1.4,True
5,200,10,1.5,True
5,200,10,1.6,True
5,200,10,1.7,True
5,200,10,1.8,True
5,190,30,1.1,False
5,190,30,1.2,False
5,190,30,1.3,False
5,190,30,1.4,False
5,190,30,1.5,False
5,190,30,1.6,False
5,190,30,1.7,False
5,190,30,1.8,False
5,190,30,1.9,True
5,190,30,2.0,False
5,200,10,1.9,True
5,200,10,2.0,False
5,200,15,1.0,False
5,200,15,1.1,False
5,200,15,1.2,False
5,200,15,1.3,True
5,200,15,1.4,True
5,200,15,1.5,True
5,200,15,1.6,True
5,200,15,1.7,True
5,200,15,1.8,True
5,200,15,1.9,True
5,200,15,2.0,False
5,200,20,1.0,False
5,200,20,1.1,False
5,200,20,1.2,False
5,200,20,1.3,False
5,200,20,1.4,True
5,200,20,1.5,True
5,200,20,1.6,True
5,200,20,1.7,True
5,200,20,1.8,True
5,200,20,1.9,True
5,200,20,2.0,False
5,200,25,1.0,False
5,200,25,1.1,False
5,200,25,1.2,False
5,200,25,1.3,False
5,200,25,1.4,False
5,200,25,1.5,False
5,200,30,1.5,False
5,200,30,1.6,False
5,200,30,1.7,False
5,200,30,1.8,False
5,200,30,1.9,True
5,200,30,2.0,False
10,50,5,1.0,False
10,50,5,1.1,True
10,50,5,1.2,True
10,50,5,1.3,True
5,200,25,1.6,True
5,200,25,1.7,True
5,200,25,1.8,True
5,200,25,1.9,True
5,200,25,2.0,False
5,200,30,1.0,False
5,200,30,1.1,False
5,200,30,1.2,False
5,200,30,1.3,False
5,200,30,1.4,False
10,50,5,1.4,False
10,50,5,1.5,False
10,50,5,1.6,False
10,50,5,1.7,False
10,50,5,1.8,False
10,50,5,1.9,False
10,50,5,2.0,False
10,50,10,1.0,False
10,50,10,1.1,True
10,50,10,1.2,True
10,50,10,1.3,False
10,50,10,1.4,False
10,50,10,1.5,False
10,50,10,1.6,False
10,50,10,1.7,False
10,50,10,1.8,False
10,50,10,1.9,False
10,50,10,2.0,False
10,50,15,1.0,False
10,50,15,1.1,True
10,60,5,1.8,False
10,60,5,1.9,False
10,60,5,2.0,False
10,60,10,1.0,False
10,60,10,1.1,True
10,60,10,1.2,True
10,60,10,1.3,True
10,60,10,1.4,True
10,60,10,1.5,False
10,60,10,1.6,False
10,50,30,1.9,False
10,50,30,2.0,False
10,60,5,1.0,False
10,60,5,1.1,True
10,60,5,1.2,True
10,60,5,1.3,True
10,60,5,1.4,True
10,60,5,1.5,True
10,60,5,1.6,False
10,60,5,1.7,False
10,60,20,1.5,False
10,60,20,1.6,False
10,60,20,1.7,False
10,60,20,1.8,False
10,60,20,1.9,False
10,60,20,2.0,False
10,60,25,1.0,False
