R,L,Vbias,result
10,20,0.4,False
10,20,0.6,False
10,20,0.8,False
10,20,1.0,False
10,20,1.2,False
10,20,1.4,False
10,20,1.6,False
10,20,1.8,False
10,20,2.0,False
10,20,2.2,False
10,5,0.4,False
10,5,0.6,False
10,5,0.8,False
10,5,1.0,False
10,5,1.2,False
10,5,1.4,False
10,5,1.6,False
10,5,1.8,False
10,5,2.0,False
10,5,2.2,False
10,10,0.4,False
10,10,0.6,False
10,10,0.8,False
10,10,1.0,False
10,10,1.2,False
10,10,1.4,False
10,10,1.6,False
10,10,1.8,False
10,10,2.0,False
10,10,2.2,False
10,15,0.4,False
10,15,0.6,False
10,15,0.8,False
10,15,1.0,False
10,15,1.2,False
10,15,1.4,False
10,15,1.6,False
10,15,1.8,False
10,15,2.0,False
10,15,2.2,False
20,10,0.4,True
20,10,0.6,False
20,10,0.8,False
20,10,1.0,False
20,10,1.2,False
20,10,1.4,False
20,10,1.6,False
20,10,1.8,False
20,10,2.0,False
20,10,2.2,False
20,5,0.4,True
20,5,0.6,False
20,5,0.8,False
20,5,1.0,False
20,5,1.2,False
20,5,1.4,False
20,5,1.6,False
20,5,1.8,False
20,5,2.0,False
20,5,2.2,False
20,15,0.4,True
20,15,0.6,False
20,15,0.8,False
20,15,1.0,False
20,15,1.2,False
20,15,1.4,False
20,15,1.6,False
20,15,1.8,False
20,15,2.0,False
20,15,2.2,False
20,20,0.4,True
20,20,0.6,False
20,20,0.8,False
20,20,1.0,False
20,20,1.2,False
20,20,1.4,False
20,20,1.6,False
20,20,1.8,False
20,20,2.0,False
20,20,2.2,False
10,30,0.4,False
10,30,0.6,False
10,30,0.8,False
10,30,1.0,False
10,30,1.2,False
10,30,1.4,False
10,30,1.6,False
10,30,1.8,False
10,30,2.0,False
10,30,2.2,False
10,25,0.4,False
10,25,0.6,False
10,25,0.8,False
10,25,1.0,False
10,25,1.2,False
10,25,1.4,False
10,25,1.6,False
10,25,1.8,False
10,25,2.0,False
10,25,2.2,False
30,5,0.4,True
30,5,0.6,True
30,5,0.8,False
30,5,1.0,False
30,5,1.2,False
30,5,1.4,False
30,5,1.6,False
30,5,1.8,False
30,5,2.0,False
30,5,2.2,False
30,10,0.4,True
30,10,0.6,True
30,10,0.8,False
30,10,1.0,False
30,10,1.2,False
30,10,1.4,False
30,10,1.6,False
30,10,1.8,False
30,10,2.0,False
30,10,2.2,False
20,30,0.4,True
20,30,0.6,False
20,30,0.8,False
20,30,1.0,False
20,30,1.2,False
20,30,1.4,False
20,30,1.6,False
20,30,1.8,False
20,30,2.0,False
20,30,2.2,False
20,25,0.4,True
20,25,0.6,False
20,25,0.8,False
20,25,1.0,False
20,25,1.2,False
20,25,1.4,False
20,25,1.6,False
20,25,1.8,False
20,25,2.0,False
20,25,2.2,False
30,15,0.4,True
30,15,0.6,True
30,15,0.8,False
30,15,1.0,False
30,15,1.2,False
30,15,1.4,False
30,15,1.6,False
30,15,1.8,False
30,15,2.0,False
30,15,2.2,False
30,20,0.4,True
30,20,0.6,True
30,20,0.8,False
30,20,1.0,False
30,20,1.2,False
30,20,1.4,False
30,20,1.6,False
30,20,1.8,False
30,20,2.0,False
30,20,2.2,False
30,30,0.4,True
30,30,0.6,True
30,30,0.8,False
30,30,1.0,False
30,30,1.2,False
30,30,1.4,False
30,30,1.6,False
30,30,1.8,False
30,30,2.0,False
30,30,2.2,False
30,25,0.4,True
30,25,0.6,True
30,25,0.8,False
30,25,1.0,False
30,25,1.2,False
30,25,1.4,False
30,25,1.6,False
30,25,1.8,False
30,25,2.0,False
30,25,2.2,False
40,5,0.4,True
40,5,0.6,True
40,5,0.8,True
40,5,1.0,True
40,5,1.2,False
40,5,1.4,False
40,5,1.6,False
40,5,1.8,False
40,5,2.0,False
40,5,2.2,False
40,10,0.4,True
40,10,0.6,True
40,10,0.8,True
40,10,1.0,True
40,10,1.2,False
40,10,1.4,False
40,10,1.6,False
40,10,1.8,False
40,10,2.0,False
40,10,2.2,False
40,20,0.4,True
40,20,0.6,True
40,20,0.8,True
40,20,1.0,True
40,20,1.2,False
40,20,1.4,False
40,20,1.6,False
40,20,1.8,False
40,20,2.0,False
40,20,2.2,False
40,15,0.4,True
40,15,0.6,True
40,15,0.8,True
40,15,1.0,True
40,15,1.2,False
40,15,1.4,False
40,15,1.6,False
40,15,1.8,False
40,15,2.0,False
40,15,2.2,False
40,25,0.4,True
40,25,0.6,True
40,25,0.8,True
40,25,1.0,True
40,25,1.2,False
40,25,1.4,False
40,25,1.6,False
40,25,1.8,False
40,25,2.0,False
40,25,2.2,False
40,30,0.4,False
40,30,0.6,True
40,30,0.8,True
40,30,1.0,True
40,30,1.2,False
40,30,1.4,False
40,30,1.6,False
40,30,1.8,False
40,30,2.0,False
40,30,2.2,False
50,5,0.4,True
50,5,0.6,True
50,5,0.8,True
50,5,1.0,True
50,5,1.2,True
50,5,1.4,False
50,5,1.6,False
50,5,1.8,False
50,5,2.0,False
50,5,2.2,False
50,10,0.4,True
50,10,0.6,True
50,10,0.8,True
50,10,1.0,True
50,10,1.2,True
50,10,1.4,False
50,10,1.6,False
50,10,1.8,False
50,10,2.0,False
50,10,2.2,False
50,15,0.4,True
50,15,0.6,True
50,15,0.8,True
50,15,1.0,True
50,15,1.2,True
50,15,1.4,False
50,15,1.6,False
50,15,1.8,False
50,15,2.0,False
50,15,2.2,False
50,20,0.4,True
50,20,0.6,True
50,20,0.8,True
50,20,1.0,True
50,20,1.2,True
50,20,1.4,False
50,20,1.6,False
50,20,1.8,False
50,20,2.0,False
50,20,2.2,False
50,25,0.4,False
50,25,0.6,True
50,25,0.8,True
50,25,1.0,True
50,25,1.2,True
50,25,1.4,False
50,25,1.6,False
50,25,1.8,False
50,25,2.0,False
50,25,2.2,False
50,30,0.4,False
50,30,0.6,True
50,30,0.8,True
50,30,1.0,True
50,30,1.2,True
50,30,1.4,False
50,30,1.6,False
50,30,1.8,False
50,30,2.0,False
50,30,2.2,False
60,5,0.4,True
60,5,0.6,True
60,5,0.8,True
60,5,1.0,True
60,5,1.2,True
60,5,1.4,True
60,5,1.6,False
60,5,1.8,False
60,5,2.0,False
60,5,2.2,False
60,10,0.4,True
60,10,0.6,True
60,10,0.8,True
60,10,1.0,True
60,10,1.2,True
60,10,1.4,True
60,10,1.6,False
60,10,1.8,False
60,10,2.0,False
60,10,2.2,False
60,20,0.4,False
60,20,0.6,True
60,20,0.8,True
60,20,1.0,True
60,20,1.2,True
60,20,1.4,True
60,20,1.6,False
60,20,1.8,False
60,20,2.0,False
60,20,2.2,False
60,15,0.4,True
60,15,0.6,True
60,15,0.8,True
60,15,1.0,True
60,15,1.2,True
60,15,1.4,True
60,15,1.6,False
60,15,1.8,False
60,15,2.0,False
60,15,2.2,False
60,25,0.4,False
60,25,0.6,True
60,25,0.8,True
60,25,1.0,True
60,25,1.2,True
60,25,1.4,True
60,25,1.6,False
60,25,1.8,False
60,25,2.0,False
60,25,2.2,False
60,30,0.4,False
60,30,0.6,False
60,30,0.8,True
60,30,1.0,True
60,30,1.2,True
60,30,1.4,True
60,30,1.6,False
60,30,1.8,False
60,30,2.0,False
60,30,2.2,False
70,10,0.4,True
70,10,0.6,True
70,10,0.8,True
70,10,1.0,True
70,10,1.2,True
70,10,1.4,True
70,10,1.6,True
70,10,1.8,True
70,10,2.0,False
70,10,2.2,False
70,5,0.4,True
70,5,0.6,True
70,5,0.8,True
70,5,1.0,True
70,5,1.2,True
70,5,1.4,True
70,5,1.6,True
70,5,1.8,True
70,5,2.0,False
70,5,2.2,False
70,15,0.4,False
70,15,0.6,True
70,15,0.8,True
70,15,1.0,True
70,15,1.2,True
70,15,1.4,True
70,15,1.6,True
70,15,1.8,True
70,15,2.0,False
70,15,2.2,False
80,5,0.4,True
80,5,0.6,True
80,5,0.8,True
80,5,1.0,True
80,5,1.2,True
80,5,1.4,True
80,5,1.6,True
80,5,1.8,True
80,5,2.0,True
80,5,2.2,False
70,20,0.4,False
70,20,0.6,True
70,20,0.8,True
70,20,1.0,True
70,20,1.2,True
70,20,1.4,True
70,20,1.6,True
70,20,1.8,True
70,20,2.0,False
70,20,2.2,False
70,30,0.4,False
70,30,0.6,False
70,30,0.8,True
70,30,1.0,True
70,30,1.2,True
70,30,1.4,True
70,30,1.6,True
70,30,1.8,True
70,30,2.0,False
70,30,2.2,False
70,25,0.4,False
70,25,0.6,False
70,25,0.8,True
70,25,1.0,True
70,25,1.2,True
70,25,1.4,True
70,25,1.6,True
70,25,1.8,True
70,25,2.0,False
70,25,2.2,False
80,10,0.4,True
80,10,0.6,True
80,10,0.8,True
80,10,1.0,True
80,10,1.2,True
80,10,1.4,True
80,10,1.6,True
80,10,1.8,True
80,10,2.0,True
80,10,2.2,False
80,15,0.4,False
80,15,0.6,True
80,15,0.8,True
80,15,1.0,True
80,15,1.2,True
80,15,1.4,True
80,15,1.6,True
80,15,1.8,True
80,15,2.0,True
80,15,2.2,False
80,25,0.4,False
80,25,0.6,False
80,25,0.8,True
80,25,1.0,True
80,25,1.2,True
80,25,1.4,True
80,25,1.6,True
80,25,1.8,True
80,25,2.0,True
80,25,2.2,False
80,20,0.4,False
80,20,0.6,True
80,20,0.8,True
80,20,1.0,True
80,20,1.2,True
80,20,1.4,True
80,20,1.6,True
80,20,1.8,True
80,20,2.0,True
80,20,2.2,False
90,5,0.4,True
90,5,0.6,True
90,5,0.8,True
90,5,1.0,True
90,5,1.2,True
90,5,1.4,True
90,5,1.6,True
90,5,1.8,True
90,5,2.0,True
90,5,2.2,True
80,30,0.4,False
80,30,0.6,False
80,30,0.8,False
80,30,1.0,True
80,30,1.2,True
80,30,1.4,True
80,30,1.6,True
80,30,1.8,True
80,30,2.0,True
80,30,2.2,False
90,10,0.4,True
90,10,0.6,True
90,10,0.8,True
90,10,1.0,True
90,10,1.2,True
90,10,1.4,True
90,10,1.6,True
90,10,1.8,True
90,10,2.0,True
90,10,2.2,True
90,15,0.4,False
90,15,0.6,True
90,15,0.8,True
90,15,1.0,True
90,15,1.2,True
90,15,1.4,True
90,15,1.6,True
90,15,1.8,True
90,15,2.0,True
90,15,2.2,True
90,20,0.4,False
90,20,0.6,False
90,20,0.8,True
90,20,1.0,True
90,20,1.2,True
90,20,1.4,True
90,20,1.6,True
90,20,1.8,True
90,20,2.0,True
90,20,2.2,True
90,25,0.4,False
90,25,0.6,False
90,25,0.8,False
90,25,1.0,True
90,25,1.2,True
90,25,1.4,True
90,25,1.6,True
90,25,1.8,True
90,25,2.0,True
90,25,2.2,True
90,30,0.4,False
90,30,0.6,False
90,30,0.8,False
90,30,1.0,True
90,30,1.2,True
90,30,1.4,True
90,30,1.6,True
90,30,1.8,True
90,30,2.0,True
90,30,2.2,True
100,5,0.4,True
100,5,0.6,True
100,5,0.8,True
100,5,1.0,True
100,5,1.2,True
100,5,1.4,True
100,5,1.6,True
100,5,1.8,True
100,5,2.0,True
100,5,2.2,True
100,10,0.4,True
100,10,0.6,True
100,10,0.8,True
100,10,1.0,True
100,10,1.2,True
100,10,1.4,True
100,10,1.6,True
100,10,1.8,True
100,10,2.0,True
100,10,2.2,True
100,15,0.4,False
100,15,0.6,False
100,15,0.8,True
100,15,1.0,True
100,15,1.2,True
100,15,1.4,True
100,15,1.6,True
100,15,1.8,True
100,15,2.0,True
100,15,2.2,True
100,20,0.4,False
100,20,0.6,False
100,20,0.8,True
100,20,1.0,True
100,20,1.2,True
100,20,1.4,True
100,20,1.6,True
100,20,1.8,True
100,20,2.0,True
100,20,2.2,True
100,25,0.4,False
100,25,0.6,False
100,25,0.8,False
100,25,1.0,True
100,25,1.2,True
100,25,1.4,True
100,25,1.6,True
100,25,1.8,True
100,25,2.0,True
100,25,2.2,True
100,30,0.4,False
100,30,0.6,False
100,30,0.8,False
100,30,1.0,False
100,30,1.2,True
100,30,1.4,True
100,30,1.6,True
100,30,1.8,True
100,30,2.0,True
100,30,2.2,True
